Identifies the type of dwelling involved in the sale,Identifies the general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions if more than one is present,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date same as construction date if no remodeling or additions,Type of roof,Roof material,Exterior covering on the house,Exterior covering on house if more than one material,Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area if multiple types,Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second floor square feet,Low quality finished square feet all floors,Above grade ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half baths above grade,Bedrooms above grade does not include basement bedrooms,Kitchens above grade,Kitchen Quality,Total rooms above grade does not include bathrooms,Home functionality Assume typical unless deductions are warranted,Number of fireplaces,Fireplace quality,Garage location,The year garage was built,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Pool area in square feet,Value of miscellaneous feature,Month Sold,Year Sold,Type of sale,Condition of sale,Sale price
20,Residential Low-Density,70,11200,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,5,5,1965,1965,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Rec Room,906,Unfinished,0,134,1040,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1040,0,0,1040,1,0,1,0,3,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,1965,Unfinished,1,384,Average/Typical,Average/Typical,Paved,0,0,0,0,0,2,2008,Warranty Deed-Conventional,Normal Sale,129500
60,Residential Low-Density,85,11924,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,Two-story,9,5,2005,2006,Hip,Standard (Composite) Shingle,Wood Shingles,Wd Shng,Stone,286,Excellent,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,998,Unfinished,0,177,1175,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1182,1142,0,2324,1,0,3,0,4,1,Excellent,11,Typical Functionality,2,Good-Masonry Fireplace on the main level,Built-In (Garage part of the house-typically has room above the garage),2005,Finished,3,736,Average/Typical,Average/Typical,Paved,147,21,0,0,0,7,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),345000
20,Residential Low-Density,0,12968,Paved,Moderately Irregular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,5,6,1962,1962,Hip,Standard (Composite) Shingle,Hard Board,Plywood,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Living Quarters,737,Unfinished,0,175,912,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,912,0,0,912,1,0,1,0,2,1,Average/Typical,4,Typical Functionality,0,No,Detached from home,1962,Unfinished,1,352,Average/Typical,Average/Typical,Paved,140,0,0,0,0,9,2008,Warranty Deed-Conventional,Normal Sale,144000
20,Residential Low-Density,91,10652,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,7,5,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,306,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,1494,1494,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1494,0,0,1494,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,3,840,Average/Typical,Average/Typical,Paved,160,33,0,0,0,8,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),279500
20,Residential Low-Density,0,10920,Paved,Slightly irregular,Level,All public Utilities,Corner lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,6,5,1960,1960,Hip,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,212,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Below Average Living Quarters,733,Unfinished,0,520,1253,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1253,0,0,1253,1,0,1,1,2,1,Average/Typical,5,Typical Functionality,1,Fair-Prefabricated Fireplace in the basement,Attached to the home,1960,Rough Finished,1,352,Average/Typical,Average/Typical,Paved,0,213,176,0,0,5,2008,Warranty Deed-Conventional,Normal Sale,157000
45,Residential Medium Density,51,6120,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,Brookside,Normal,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,7,8,1929,2001,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,832,832,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),854,0,0,854,0,0,1,0,2,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,1991,Unfinished,2,576,Average/Typical,Average/Typical,Paved,48,112,0,0,0,7,2007,Warranty Deed-Conventional,Normal Sale,132000
20,Residential Low-Density,0,11241,Paved,Slightly irregular,Level,All public Utilities,Cul-de-sac,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,6,7,1970,1970,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,180,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Living Quarters,578,Unfinished,0,426,1004,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1004,0,0,1004,1,0,1,0,2,1,Average/Typical,5,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1970,Finished,2,480,Average/Typical,Average/Typical,Paved,0,0,0,0,700,3,2010,Warranty Deed-Conventional,Normal Sale,149000
90,Residential Low-Density,72,10791,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer,Normal,Normal,Duplex,One story,4,5,1967,1967,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Average/Typical,Slab,No,No,No Exposure,No,0,No,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1296,0,0,1296,0,0,2,0,2,2,Average/Typical,6,Typical Functionality,0,No,Car Port,1967,Unfinished,2,516,Average/Typical,Average/Typical,Paved,0,0,0,0,500,10,2006,Warranty Deed-Conventional,Normal Sale,90000
20,Residential Low-Density,66,13695,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer West,Adjacent to East-West Railroad,Normal,Single-family Detached,One story,5,5,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,646,Unfinished,0,468,1114,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1114,0,0,1114,1,0,1,1,3,1,Good,6,Typical Functionality,0,No,Detached from home,2004,Unfinished,2,576,Average/Typical,Average/Typical,Paved,0,102,0,0,0,6,2008,Warranty Deed-Conventional,Normal Sale,159000
20,Residential Low-Density,70,7560,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,6,1958,1965,Hip,Standard (Composite) Shingle,Brick Face,Plywood,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Low Quality,504,Unfinished,0,525,1029,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1339,0,0,1339,0,0,1,0,3,1,Average/Typical,6,Minor Deductions 1,0,No,Attached to the home,1958,Unfinished,1,294,Average/Typical,Average/Typical,Paved,0,0,0,0,0,5,2009,Court Officer Deed/Estate,"Abnormal Sale-trade, foreclosure, short sale",139000
60,Residential Low-Density,101,14215,Paved,Slightly irregular,Level,All public Utilities,Corner lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,Two-story,8,5,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,380,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,1158,1158,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1158,1218,0,2376,0,0,3,1,4,1,Good,9,Typical Functionality,1,Good-Masonry Fireplace on the main level,Built-In (Garage part of the house-typically has room above the garage),2005,Rough Finished,3,853,Average/Typical,Average/Typical,Paved,240,154,0,0,0,11,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),325300
45,Residential Medium Density,57,7449,Paved,Regular,Banked,All public Utilities,Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,7,7,1930,1950,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,637,637,Gas forced warm air furnace,Excellent,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1108,0,0,1108,0,0,1,0,3,1,Good,6,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,1930,Unfinished,1,280,Average/Typical,Average/Typical,Dirt/Gravel,0,0,205,0,0,6,2007,Warranty Deed-Conventional,Normal Sale,139400
20,Residential Low-Density,75,9742,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,8,5,2002,2002,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,281,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1777,1777,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1795,0,0,1795,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2002,Rough Finished,2,534,Average/Typical,Average/Typical,Paved,171,159,0,0,0,9,2008,Warranty Deed-Conventional,Normal Sale,230000
120,Residential Medium Density,44,4224,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Meadow Village,Normal,Normal,Townhouse End Unit,One story,5,7,1976,1976,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,None,0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,840,Unfinished,0,200,1040,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1060,0,0,1060,1,0,1,0,3,1,Average/Typical,6,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976,Unfinished,2,572,Average/Typical,Average/Typical,Paved,100,110,0,0,0,6,2007,Warranty Deed-Conventional,Normal Sale,129900
20,Residential Low-Density,0,8246,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,5,8,1968,2001,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,Mimimum Exposure,Average Rec Room,188,Average Living Quarters,668,204,1060,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1060,0,0,1060,1,0,1,0,3,1,Good,6,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1968,Unfinished,1,270,Average/Typical,Average/Typical,Paved,406,90,0,0,0,5,2010,Warranty Deed-Conventional,Normal Sale,154000
20,Residential Low-Density,110,14230,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,One story,8,5,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,640,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1566,1566,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1600,0,0,1600,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2007,Rough Finished,3,890,Average/Typical,Average/Typical,Paved,0,56,0,0,0,7,2009,Warranty Deed-Conventional,Normal Sale,256300
20,Residential Low-Density,60,7200,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,7,1951,2000,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,Mimimum Exposure,Below Average Living Quarters,234,Average Rec Room,486,180,900,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,900,0,0,900,0,1,1,0,3,1,Good,5,Typical Functionality,0,No,Detached from home,2005,Unfinished,2,576,Average/Typical,Average/Typical,Paved,222,32,0,0,0,5,2010,Warranty Deed-Conventional,Normal Sale,134800
20,Residential Low-Density,98,11478,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,One story,8,5,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,200,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,1218,Unfinished,0,486,1704,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1704,0,0,1704,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2008,Rough Finished,3,772,Average/Typical,Average/Typical,Paved,0,50,0,0,0,5,2010,Warranty Deed-Conventional,Normal Sale,306000
20,Residential Low-Density,47,16321,Paved,Slightly irregular,Level,All public Utilities,Cul-de-sac,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,6,1957,1997,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,Good Exposure,Below Average Living Quarters,1277,Unfinished,0,207,1484,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1600,0,0,1600,1,0,1,0,2,1,Average/Typical,6,Typical Functionality,2,Good-Masonry Fireplace on the main level,Attached to the home,1957,Rough Finished,1,319,Average/Typical,Average/Typical,Paved,288,258,0,0,0,12,2006,Warranty Deed-Conventional,Normal Sale,207500
30,Residential Medium Density,60,6324,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Brookside,Adjacent to feeder street,Within 200 of North-South Railroad,Single-family Detached,One story,4,6,1927,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,520,520,Gas forced warm air furnace,Fair,No,Standard Circuit Breakers & Romex,520,0,0,520,0,0,1,0,1,1,Fair,4,Typical Functionality,0,No,Detached from home,1920,Unfinished,1,240,Fair,Average/Typical,Paved,49,0,87,0,0,5,2008,Warranty Deed-Conventional,Normal Sale,68500
70,C (all),50,8500,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Iowa DOT and Rail Road,Adjacent to feeder street,Normal,Single-family Detached,Two-story,4,4,1920,1950,Gambrel,Standard (Composite) Shingle,Brick Face,Brick Face,None,0,Average/Typical,Fair,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,649,649,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,649,668,0,1317,0,0,1,0,3,1,Average/Typical,6,Typical Functionality,0,No,Detached from home,1920,Unfinished,1,250,Average/Typical,Fair,Dirt/Gravel,0,54,172,0,0,7,2008,Warranty Deed-Conventional,Normal Sale,40000
20,Residential Low-Density,0,8544,Paved,Slightly irregular,Level,All public Utilities,Cul-de-sac,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,5,6,1966,2006,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1228,1228,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1228,0,0,1228,0,0,1,1,3,1,Good,6,Typical Functionality,0,No,Attached to the home,1966,Unfinished,1,271,Average/Typical,Average/Typical,Paved,0,65,0,0,0,6,2008,Warranty Deed-Conventional,Normal Sale,149350
20,Residential Low-Density,85,11049,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,8,5,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,1234,1234,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1234,0,0,1234,0,0,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2007,Rough Finished,2,484,Average/Typical,Average/Typical,Paved,0,30,0,0,0,1,2008,Warranty Deed-Conventional,Normal Sale,179900
